轮数,主队,客队,主队积分,客队积分,主队排名,客队排名,威廉希尔1,威廉希尔2,威廉希尔3,威廉希尔4,威廉希尔5,威廉希尔6,立博1,立博2,立博3,立博4,立博5,立博6,澳门1,澳门2,澳门3,澳门4,澳门5,澳门6,盘,主队得分,客队得分
11,广州富力,上海申花,18,11,4,9,2.05,3.25,3.5,1.85,3.75,3.6,1.83,3.6,3.6,1.91,3.6,3.3,0.58,平手/半球,1.12,0.58,平手/半球,1.12,输半,0,0
11,辽宁开新,延边富德,10,7,10,15,2.15,3.25,3.25,1.7,3.6,4.5,2.15,3.1,3.2,1.67,3.5,4.5,0.840↓,半球/一球x升,0.860↑,0.86,半球,0.84,赢,3,1
11,贵州智诚,苏  宁,12,7,9,16,3,3.25,2.3,2.6,3,2.7,2.88,3.1,2.3,2.6,2.9,2.65,0.800↓,平手,0.900↑,0.88,平手,0.82,走盘,2,2
11,河北华夏,长春亚泰,19,8,3,13,1.5,4.2,6,1.55,3.6,6,1.5,3.9,6,1.6,3.6,5.25,0.960↑,一球,0.740↓,0.84,一球,0.86,走盘,2,1
11,天津权健,天津亿利,13,10,7,12,1.75,3.5,4.5,1.95,3.25,3.75,1.75,3.25,4.4,1.87,3.2,3.9,0.820↓,半球,0.880↑,0.96,半球,0.74,赢,3,0
11,上  港,北京国安,23,15,2,6,1.5,4,6.5,1.6,3.8,5,1.44,4,6,1.57,3.8,5,0.960↑,一球,0.740↓,0.92,一球,0.78,赢,5,1
11,山东鲁能,河南建业,17,7,5,15,1.44,4.2,7,1.65,3.5,5,1.4,4,7.5,1.7,3.4,4.75,0.900↓,半球/一球x降,0.800↑,0.94,一球,0.76,赢半,3,2
12,河南建业,广州富力,7,19,15,5,2.6,3.1,2.6,2.4,3.3,2.7,2.55,3,2.62,2.55,3.1,2.55,0.880↑,平手,0.820↓,0.84,平手,0.86,走盘,1,1
12,天津亿利,上海申花,10,12,12,10,2.45,3.2,2.7,2.4,3.3,2.7,2.4,3.1,2.7,2.5,3.1,2.62,0.880↑,平手,0.820↓,0.74,平手,0.96,赢,2,1
12,重庆力帆,北京国安,10,15,11,7,3,3.2,2.25,2.88,3.25,2.3,2.88,3.1,2.3,2.88,3.1,2.3,0.880↑,受平手/半球,0.820↓,0.78,受平手/半球,0.92,赢,1,0
12,延边富德,恒  大,7,28,16,1,6.5,4.2,1.44,7,4.33,1.4,6.5,4.2,1.4,7,4.4,1.4,0.820↑,受一球/球半,0.880↓,0.72,受一球/球半,0.98,输,1,3
12,山东鲁能,天津权健,20,16,4,6,1.73,3.5,4.4,1.83,3.6,3.8,1.8,3.4,4,1.83,3.5,3.7,0.740↑,半球,0.960↓,0.7,半球,1,输,1,2
12,上  港,辽宁开新,26,13,2,8,1.18,6,13,1.15,7,12,1.17,6.5,15,1.15,7,15,0.640↓,两球,1.060↑,0.82,两球,0.88,赢,4,1
12,苏  宁,河北华夏,8,22,14,3,2.3,3.25,2.88,1.95,3.3,3.6,2.55,3.3,2.45,2,3.25,3.4,0.760↑,平手/半球x升,0.940↓,0.62,平手,1.08,输,1,2
12,长春亚泰,贵州智诚,8,13,14,8,2.15,3.2,3.2,2.15,3.1,3.3,2.1,3,3.4,2.05,3.1,3.5,0.820↑,平手/半球,0.880↓,0.76,平手/半球,0.94,输半,1,1
13,贵州智诚,恒  大,14,31,8,1,5.5,3.8,1.55,7,4,1.44,5.25,4,1.53,7,4,1.44,0.9,受一球,0.8,0.9,受一球,0.8,输,0,2
13,河北华夏,天津权健,25,19,3,6,1.83,3.4,4,1.83,3.4,4,1.6,3.6,5,1.83,3.3,3.9,0.820↑,半球,0.880↓,0.78,半球,0.92,赢,1,0
13,河南建业,延边富德,8,7,14,16,1.75,3.3,4.6,1.7,3.3,5,1.91,3.2,3.7,1.73,3.25,4.75,0.700↓,半球,1.000↑,0.74,半球,0.96,赢,3,1
13,上海申花,重庆力帆,12,13,12,9,1.67,3.75,4.5,1.8,3.5,4,1.53,3.75,5.5,1.83,3.5,3.75,0.900↑,半球/一球,0.800↓,0.82,半球/一球,0.88,输,2,2
13,广州富力,上  港,20,29,5,2,3.3,3.6,1.95,3.8,4.2,1.7,3.4,3.6,1.91,4,3.9,1.7,1.100↑,受半球,0.600↓,0.78,受半球,0.92,赢,1,1
13,辽宁开新,山东鲁能,13,20,11,4,3,3.4,2.15,3.5,3.6,1.91,3.3,3.3,2,3.5,3.5,1.87,1.000↑,受平手/半球,0.700↓,0.84,受平手/半球,0.86,输,0,3
13,苏  宁,长春亚泰,8,9,15,14,1.65,3.6,4.8,1.55,3.6,6,1.62,3.6,4.75,1.53,3.6,5.75,0.540↓,半球/一球x降,1.160↑,1.06,一球,0.64,输,0,1
13,北京国安,天津亿利,15,13,7,12,1.65,3.5,5,1.75,3.5,4.33,1.75,3.3,4.33,1.75,3.4,4.25,0.840↓,半球/一球,0.860↑,0.9,半球/一球,0.8,赢,2,0
14,辽宁开新,天津权健,13,19,11,6,2.88,3.25,2.25,3.25,3.4,2.05,2.9,3.25,2.2,3.2,3.3,2.05,0.740↓,受半球x降,0.960↑,0.8,受平手/半球,0.9,输,1,2
14,延边富德,上海申花,7,13,16,10,2.8,3.3,2.3,3.2,3.2,2.15,2.8,3.3,2.25,3.2,3.2,2.1,0.900↑,受平手/半球,0.800↓,0.74,受平手/半球,0.96,输,0,2
14,山东鲁能,贵州智诚,23,14,4,10,1.5,4,6,1.53,4,5.5,1.44,4,6.5,1.5,3.9,5.8,0.800↑,一球,0.900↓,0.76,一球,0.94,输,2,2
14,重庆力帆,长春亚泰,14,12,9,13,1.91,3.3,3.75,1.95,3.2,3.8,2,3.1,3.6,1.91,3.2,3.75,0.860↓,半球,0.840↑,0.92,半球,0.78,输,1,1
14,天津亿利,广州富力,13,21,12,6,2.8,3.2,2.4,2.38,3.3,2.75,2.4,3.25,2.6,2.4,3.3,2.6,,,,,,,,1,2
14,恒  大,河北华夏,34,28,1,3,1.4,4.33,6.5,1.44,4.2,6,1.53,3.9,5.25,1.53,3.9,5.25,0.760↓,一球x降,0.940↑,1.04,一球/球半,0.66,赢,2,0
14,上  港,河南建业,30,11,2,14,1.11,7.5,15,1.44,4.33,6,1.17,6.5,17,1.4,4.2,6.5,1.000↑,球半x降,0.700↓,0.84,球半/两球,0.86,赢,4,1
14,北京国安,苏  宁,18,8,7,15,1.95,3.4,3.6,1.91,3.3,3.75,1.95,3.3,3.5,1.95,3.2,3.5,0.960↓,半球,0.740↑,0.98,半球,0.72,输,0,0
15,上海申花,辽宁开新,16,13,8,12,1.44,4.2,6.5,1.35,4.6,7.5,1.44,4,6,1.33,4.75,8,0.840↑,球半x升,0.860↓,0.7,一球,1,赢,8,1
15,长春亚泰,北京国安,13,19,11,8,2.6,3.3,2.45,2.8,3.1,2.45,2.7,3.1,2.45,2.9,3,2.3,1.020↑,平手x升,0.680↓,0.72,受平手/半球,0.98,赢,2,1
15,广州富力,重庆力帆,24,15,5,10,1.5,3.6,6.5,1.62,4,4.5,1.57,3.75,5.25,1.57,3.9,5,,,,,,,,3,4
15,河北华夏,山东鲁能,28,24,3,4,2.15,3.3,3.1,2.3,3.25,2.88,2.15,3.25,3,2.3,3.2,2.8,0.880↓,平手/半球,0.820↑,0.9,平手/半球,0.8,输半,0,0
15,河南建业,天津亿利,11,13,14,12,2.15,3.3,3.1,2,3.2,3.6,2.1,3.1,3.25,2.05,3,3.5,0.760↓,平手/半球,0.940↑,0.8,平手/半球,0.9,输半,0,0
15,苏  宁,上  港,9,33,15,2,3.1,3.3,2.15,2.2,3.3,3,3.1,3.4,2.1,2.15,3.3,3,0.800↓,平手/半球x升,0.900↑,0.92,受平手/半球,0.78,输,0,1
15,贵州智诚,延边富德,15,7,11,16,1.7,3.75,4.2,1.4,4,7,1.6,3.6,5.2,1.44,3.9,7,0.760↑,一球,0.940↓,0.62,一球,1.08,输,1,2
15,天津权健,恒  大,22,37,6,1,4.2,3.5,1.75,4,3.5,1.8,3.3,3.3,2,3.6,3.4,1.91,0.700↓,受半球/一球x降,1.000↑,0.78,受半球,0.92,赢,4,3
16,天津权健,广州富力,25,24,5,6,2.15,3.4,3,2.2,3.6,2.8,2.2,3.3,2.9,2.2,3.4,2.88,1.000↓,半球,0.700↑,1.06,半球,0.64,赢,2,1
16,延边富德,重庆力帆,10,18,15,9,2.4,3.25,2.75,2.8,3.2,2.38,2.6,3.1,2.5,3,3.1,2.25,0.960↑,平手,0.740↓,0.76,平手,0.94,输,0,4
16,北京国安,恒  大,19,37,9,1,3.25,3.4,2.05,3.3,3.5,2,3.25,3.4,2,3.4,3.25,2,0.980↑,受平手/半球x升,0.720↓,0.62,受半球,1.08,赢,2,0
16,辽宁开新,贵州智诚,13,15,13,11,2.5,3.25,2.6,2.7,3.5,2.3,2.5,3.2,2.55,2.7,3.3,2.35,0.980↑,平手,0.720↓,0.84,平手,0.86,输,0,1
16,河北华夏,河南建业,29,12,3,14,1.6,3.5,5.5,1.6,3.5,5.5,1.6,3.5,5.2,1.67,3.3,5.25,0.940↓,一球,0.760↑,0.98,一球,0.72,输,2,3
16,苏  宁,上海申花,9,19,16,8,2,3.4,3.4,2.05,3.25,3.4,2,3.3,3.3,1.95,3.2,3.7,0.840↑,半球x升,0.860↓,0.76,平手/半球,0.94,输,2,2
16,长春亚泰,上  港,16,36,11,2,7.5,4.2,1.4,3.25,3.4,2.05,4.5,3.7,1.67,3.1,3.25,2.1,0.940↑,受平手/半球x升,0.760↓,0.42,受一球,1.28,赢,4,2
16,天津亿利,山东鲁能,14,25,13,5,3,3.4,2.15,3.1,3.3,2.15,3.2,3.2,2.1,3.2,3.2,2.15,0.940↑,受平手/半球x升,0.760↓,0.68,受半球,1.02,输,0,2
17,天津亿利,苏  宁,14,10,13,15,2.88,3.25,2.3,3,3.1,2.3,2.55,3.1,2.6,3,3,2.35,1.100↑,平手,0.600↓,0.8,平手,0.9,走盘,1,1
